r (angstrom)  ,  normalised by natoms
      0.00 ,      0.00000000
      0.10 ,      0.00000000
      0.20 ,      0.00000000
      0.30 ,      0.00000000
      0.40 ,      0.00000000
      0.50 ,      0.00000000
      0.60 ,      0.00000000
      0.70 ,      0.00000000
      0.80 ,      0.00000006
      0.90 ,      0.00000083
      1.00 ,      0.00000869
      1.10 ,      0.00007464
      1.20 ,      0.00052555
      1.30 ,      0.00303400
      1.40 ,      0.01436063
      1.50 ,      0.05573300
      1.60 ,      0.17735962
      1.70 ,      0.46283603
      1.80 ,      0.99053399
      1.90 ,      1.73885795
      2.00 ,      2.50515899
      2.10 ,      2.96666305
      2.20 ,      2.90229135
      2.30 ,      2.38305591
      2.40 ,      1.72126729
      2.50 ,      1.22506168
      2.60 ,      1.00951886
      2.70 ,      1.01740629
      2.80 ,      1.16598652
      2.90 ,      1.44014709
      3.00 ,      1.85021481
      3.10 ,      2.33146422
      3.20 ,      2.72493861
      3.30 ,      2.88573864
      3.40 ,      2.81467503
      3.50 ,      2.67335144
      3.60 ,      2.66201213
      3.70 ,      2.87195252
      3.80 ,      3.23206070
      3.90 ,      3.56993528
      4.00 ,      3.71821804
      4.10 ,      3.59386670
      4.20 ,      3.22721049
      4.30 ,      2.73899408
      4.40 ,      2.26910059
      4.50 ,      1.90330519
      4.60 ,      1.66292174
      4.70 ,      1.54933248
      4.80 ,      1.57211373
      4.90 ,      1.73288688
      5.00 ,      1.99969240
      5.10 ,      2.29897532
      5.20 ,      2.52619464
      5.30 ,      2.57723847
      5.40 ,      2.39583316
      5.50 ,      2.00862854
      5.60 ,      1.51839819
      5.70 ,      1.05618804
      5.80 ,      0.72570612
      5.90 ,      0.57772560
      6.00 ,      0.62143345
      6.10 ,      0.84192594
      6.20 ,      1.19433305
      6.30 ,      1.58911781
      6.40 ,      1.90999210
      6.50 ,      2.07009819
      6.60 ,      2.05843128
      6.70 ,      1.93225061
      6.80 ,      1.76724550
      6.90 ,      1.61267951
      7.00 ,      1.47933951
      7.10 ,      1.35294180
      7.20 ,      1.21555953
      7.30 ,      1.06224761
      7.40 ,      0.90184748
      7.50 ,      0.74349799
      7.60 ,      0.58967163
      7.70 ,      0.44770095
      7.80 ,      0.34154461
      7.90 ,      0.30301511
      8.00 ,      0.35014095
      8.10 ,      0.47373191
      8.20 ,      0.63828541
      8.30 ,      0.79210912
      8.40 ,      0.88693925
      8.50 ,      0.90520534
      8.60 ,      0.87512904
      8.70 ,      0.85178419
      8.80 ,      0.87376638
      8.90 ,      0.93344887
      9.00 ,      0.98483241
      9.10 ,      0.97709497
      9.20 ,      0.88780991
      9.30 ,      0.73767813
      9.40 ,      0.57739755
      9.50 ,      0.45252638
      9.60 ,      0.37459064
      9.70 ,      0.32426019
      9.80 ,      0.27771149
      9.90 ,      0.22535310
     10.00 ,      0.17007773
     10.10 ,      0.11788667
     10.20 ,      0.07355103
     10.30 ,      0.04025543
     10.40 ,      0.01887139
     10.50 ,      0.00744467
     10.60 ,      0.00244331
     10.70 ,      0.00066256
     10.80 ,      0.00014786
     10.90 ,      0.00002710
     11.00 ,      0.00000407
     11.10 ,      0.00000050
     11.20 ,      0.00000005
     11.30 ,      0.00000000
     11.40 ,      0.00000000
     11.50 ,      0.00000000
     11.60 ,      0.00000000
     11.70 ,      0.00000000
     11.80 ,      0.00000000
     11.90 ,      0.00000000
     12.00 ,      0.00000000
